"Number rolled","Name","Description (green text)","Details (black text)"
"1–2","Ripped Apart","You are torn to pieces or crushed beyond recovery. It is a sad day when a Hero falls.","Your Hero is Dead."
"3","Internal Bleeding","Your condition is serious! Wiping blood from your mouth, you assure everyone that you are fine.","Any further Injury Chart rolls are only made on a single D6. This Injury is –1 to the roll to Heal during Surgery at the Doc’s Office in Town."
"4","Mangled Hand","One of your hands is twisted and broken. It’s hard to even hold anything in it.","You have one less slot for equipping Items each turn. Two-handed Weapons may still be used, but they cannot get Critical Hits."
"5","Gouged Eye","Ouch! Your vision is blurred and cloudy as one of your eyes has been scratched!","You cannot get Critical Hits with your Ranged Attacks."
"6","Slashed Leg","A deep and painful cut runs across your leg, making it hard to stand let alone to walk.","You are –1 Move (minimum of 1)."
"7","Concussion","Your ears are ringing a little and you have a headache that won’t quit!","Until the start of the next Adventure, you are –1 Initiative and roll one less dice on all Skill Tests."
"8","Crushed Arm","Your arm has been bent and crushed a bit. It may even be broken.","You are –1 Combat."
"9","Broken Collar Bone","Not particularly debilitating, but it sure hurts! You find yourself cringing a lot from the pain.","You are –1 Max Grit."
"10","Chest Wound","Deep gashes run across your chest, making it hard to turn or twist your body; it’s kind of painful to even breathe.","You are –1 Initiative."
"11","Wind Knocked Out","You pick yourself up and shake yourself off! It’s a little hard to catch your breath, but you’ll be ok.","There is no long lasting effect."
"12","New Scars","You’re a bit of a mess, but it’s all superficial. In a lot of ways, you look tougher!","You are +1 Max Grit."
