"Number rolled","Name","Description (green text)","Details (black text)"
"1–2","Lost to the Darkness","You have descended into the dark depths of purest Madness! With a final quiver, you crumple to the floor and slip into a catatonic state that you are unlikely to ever recover from.","Your Hero is, for all intents and purposes, considered to be Dead."
"3","Delusions","Your fractured state of mind is in shambles, and you are ready to slip over the edge at any moment.","Any further Madness Chart rolls are only made on a single D6. This Madness is –1 to the roll to Heal during an Exorcism of Madness at the Church in Town."
"4","The Itching","Your skin burns and itches as you scratch at it feverishly. Why isn’t anyone else scratching?!?","At the start of each turn, you take 1 Hit, as you claw at your skin."
"5","It’s Coming for You!","How does it know your name?!? You can hear it calling you in the dark! What does it want?","Whenever the Hold Back the Darkness roll is failed (including doubles that would fail), you take D3 Sanity Damage, ignoring Willpower saves."
"6","Paranoia","They’re out to get you…all of them! Just look at that little one, with the beady eyes! They want to kill you…and take your stuff for themselves! Maybe they’re all demons…they’re all possessed!!!","Any time you want to Scavenge or Explore a Doorway, you must first roll a D6. On the roll of 1, 2 or 3, you cannot, as you are too distracted keeping an eye on the other Heroes’ motives."
"7","Open to the Void","You feel the ebb and flow of the Void energy all around you, seeping into your mind and clawing at your deepest fears!","You no longer get a Willpower save to prevent Corruption Hits."
"8","The Chills","It’s…soooo…cooold in here! It feels like you are freezing…on the inside!","When Scavenging, ignore the first 6 you roll on the Scavenge test."
"9","Hallucinations","You can no longer trust what you see as shadows and tendrils of darkness writhe in every corner of your eye.","Any time you would draw a Loot card, roll a D6. On the roll of 1, you instead take 1 Sanity Damage, ignoring Willpower, as you recoil from the hideous visions!"
"10","Hearing Voices","They’re telling you to kill…again! Any time you end your Move adjacent to another Hero, roll a D6.","On the roll of 1 or 2, that Hero takes 3 Hits as you lash out at them!"
"11","Get a Grip!","You shake it off. You’re fine…everything’s fine, right?","There is no long lasting effect."
"12","I’ve Seen Things…!","You’ve come back from the brink of madness…and you are stronger for it!","You are +1 Max Grit."
