"Number rolled","Name","Description (green text)","Details (black text)"
"11","Chest Portal","A hole has opened up in your chest leading to another dimension! And occasionally... stuff comes through!","Anytime an 11 or 12 is rolled to Hold Back the Darkness, you must roll a D6. 1-3 = Ambush Attack! (Low Threat) 4-5 = Nothing happens. 6 = Draw a Mine Artifact card."
"12","Tentacle Fingers","Gross!","No game effect."
"13","Tentacle Arm","","You lose the use 1H of one each turn, but you are +1 Combat. 2H Guns / Bows may still be used, but cannot get Critical Hits."
"14","Tentacle Leg","","You are -1 Move each turn (minimum of 1)."
"15","Tentacle Tongue","Gross!","No game effect."
"16","Tentacle Mustache","Shopkeepers are intimidated by your writhing facial hair!","All Item prices in Town cost you $10 less than normal (minimum $10)."
"21","Glowing Skin","Your skin begins to give off an eerie green glow that lights up the corridors around you.","You are now Immune to Voices in the Dark, but Enemies also Hit you on 'To Hit' rolls of 1."
"22","Rock Skin","Your skin becomes hard and crusty, like it's made of rock.","You are +3 Health, but -1 Move each turn (minimum of 1)."
"23","Slippery Skin","Your skin is now oily and greasy, allowing you to slide past Enemies and slip through tight spaces.","You may now roll an extra die for Escape tests and choose which roll to use."
"24","Melty Skin","Your skin has become gooey and comes off easily now.","Any time you take one or more Wounds from a source, you take 1 extra Wound."
"25","Void Boils","","You are -2 Health, but +1 Max Grit."
"26","Void Infection","","Any time you pass through a Gate, you take 1 Corruption Point, ignoring Willpower."
"31","Barbed Tail","","+1 Combat. You are also -1 Corruption Resistance."
"32","Prehensile Tail","","You now have 1 extra to use per turn. You are also -1 Corruption Resistance."
"33","Tail with a Face","Your tail talks to you in hushed demonic whispers, curling around to speak into your ear.","Any time you take one or more Sanity Damage from a source, you take 1 extra Sanity Damage."
"34","Tail with a Mouth","Your tail nips and bites at you and any others that stray too close.","Any time you or another model adjacent to you rolls a 1 on a â€˜To Hitâ€™ roll, that model takes 1 Wound, ignoring Defense. No XP is gained."
"35","Tentacle Tail","","+1 Move. You are also -1 Corruption Resistance."
"36","Void Plague","","Any Hero adjacent to you at the end of a turn automatically takes D3 Wounds, ignoring Defense."
"41","Horns","You sprout horns from the top of your head.","You can no longer use Clothing - Hat Items."
"42","Eye Grown Over","One of your eyes has grown over with gnarled flesh.","All of your Critical Hits do 1 less Damage than normal."
"43","Third Eye","You have grown a third eye that can see into the Void.","Once per turn, you may spend 2 Grit to force a Threat card just drawn to be discarded and Re-drawn."
"44","Mouth Grown Over","You can no longer speak (at least nothing beyond mumbling).","All Item prices in Town cost you +$10."
"45","Fangs","You have grown large, sharp fangs that protrude from your mouth.","You gain a Bite Free Attack - Once per turn. 1 Combat, uses the D8 for Damage. If this Bite attack wounds a Void Enemy, you also take 1 Corruption Hit."
"46","Second Head","They say two heads are better than one...I'm not so sure.","You may now use 2 Clothing - Hat Items and you are +1 Initiative. However, any time you roll a natural 6+ for movement, you lose your Activation, as your two heads are arguing over where to go next."
"51","Arm Growth","Your arm has grown deformed and giant.","You can no longer use Clothing - Coat Items."
"52","Leg Growth","Your leg has grown deformed and giant.","You can no longer use Clothing - Boots Items."
"53","Hand Growth","Your hand has grown deformed and giant.","You can no longer use Clothing - Gloves Items."
"54","Fused with Item","Your skin and muscle have grown out and extended around one of your Items, making it part of you.","Choose one Item you are carrying that is 1H or 2H. From now on, that Item may not be unequipped."
"55","Fused with Rock","Your skin has fused with chunks of rock, making you lumbering and slow.","You are -2 Move each turn (minimum of 1), however, you also gain Armor 4+."
"56","Fused with Dark Stone","Any Dark Stone shards you currently carry have become fused to you.","These cannot be sold, used, or lost in any way until this Mutation is removed, and will continue to roll for corruption at the end of each Adventure as long as they are attached to you."
"61","Dark Stone Allergy","","At the start of each of your Activations, take 1 Hit for every Dark Stone shard and Item with a Dark Stone Icon you are carrying (maximum of 5 Hits)."
"62","Nose Fallen Off","You are in bad shape.","All of your Town Location Event Chart rolls are -1 to the roll (minimum of 2)."
"63","Fused Fingers","Your fingers have fused together making it impossible to do any fine manipulation.","You may not use Gun Items (unless it is an Artifact card)."
"64","Eye Stalks","","All of your Critical Hits are +1 Damage. You are also -1 Corruption Resistance."
"65","Void Speech","You can now understand what Void creatures are saying as they hiss and growl. This is unnerving to the extreme, but can give you a leg up in a fight.","At the start of each turn, if there are any Void Enemies on your Map Tile, you are +1 Initiative, but you also take 1 Sanity Damage, ignoring Willpower."
"66","Child of the Void","You have grown the upper torso of a small humanoid like creature out of your lower abdomen (you must name them).","You are +1 Lore and, while in an OtherWorld, +1 Initiative. You are also -1 Corruption Resistance."
